sample_38_20210610044413_Hayden,46,3, 25,35,0.5476,0.6479,0.5935
sample_1765,27,0, 18,14,0.6585,0.6000,0.6279
sample_160_20210112211715,74,0, 17,19,0.7957,0.8132,0.8043
sample_1231,15,0, 11,13,0.5357,0.5769,0.5556
sample_60_20210604143820_Isra,38,0, 24,39,0.4935,0.6129,0.5468
sample_50_20210604143818_Isra,37,0, 33,19,0.6607,0.5286,0.5873
sample_73_20210610044426_Booma,33,0, 23,20,0.6226,0.5893,0.6055
sample_154_20210112211713,34,0, 13,14,0.7083,0.7234,0.7158
sample_76_20210112211704,33,3, 14,4,0.8250,0.7021,0.7586
sample_364,48,0, 36,12,0.8000,0.5714,0.6667
sample_963,51,0, 16,6,0.8947,0.7612,0.8226
sample_166_20210112211715,65,1, 30,20,0.7558,0.6842,0.7182
sample_85_20210112211705,55,1, 13,27,0.6627,0.8088,0.7285
sample_128_20210112211711,44,3, 26,21,0.6471,0.6286,0.6377
sample_5_20210604143806_Hayden,42,1, 17,21,0.6562,0.7119,0.6829
sample_2765,31,0, 9,19,0.6200,0.7750,0.6889
sample_2762,77,1, 60,91,0.4556,0.5620,0.5033
sample_36_20210610044412_Hayden,34,1, 21,16,0.6667,0.6182,0.6415
sample_30_20210610044412_Isra,54,0, 11,16,0.7714,0.8308,0.8000
sample_1433,36,0, 15,10,0.7826,0.7059,0.7423
sample_1600,66,3, 27,17,0.7674,0.7097,0.7374
sample_1854,13,0, 5,3,0.8125,0.7222,0.7647
sample_2_20210604143805_Hayden,12,0, 3,23,0.3429,0.8000,0.4800
sample_34_20210610044412_Hayden,31,1, 10,22,0.5741,0.7561,0.6526
sample_225,16,0, 14,18,0.4706,0.5333,0.5000
sample_58_20210604143820_Isra,58,8, 57,40,0.5472,0.5043,0.5249
sample_2748,69,0, 22,79,0.4662,0.7582,0.5774
sample_2780,47,1, 52,38,0.5465,0.4747,0.5081
sample_90_20210604143828_Booma,34,0, 17,28,0.5484,0.6667,0.6018
sample_1240,37,0, 27,21,0.6379,0.5781,0.6066
sample_96_20210112211707,119,0, 16,29,0.8041,0.8815,0.8410
sample_2751,95,0, 41,49,0.6597,0.6985,0.6786
sample_84_20210604143826_Booma,30,6, 9,4,0.7500,0.7692,0.7595
sample_223,17,0, 27,19,0.4722,0.3864,0.4250
sample_140_20210112211712,53,0, 17,18,0.7465,0.7571,0.7518
sample_80_20210112211705,23,0, 7,13,0.6389,0.7667,0.6970
sample_227,45,0, 57,46,0.4945,0.4412,0.4663
sample_1262,86,2, 53,52,0.6143,0.6187,0.6165
sample_82_20210604143826_Booma,126,1, 63,87,0.5888,0.6667,0.6253
sample_74_20210604143824_Booma,7,0, 8,2,0.7778,0.4667,0.5833
sample_64_20210112211703,54,0, 56,24,0.6923,0.4909,0.5745
sample_167_20210112211715,72,2, 49,32,0.6792,0.5950,0.6344
sample_50_20210610044419_Hayden,75,0, 11,58,0.5639,0.8721,0.6849
sample_75_20200709164917_Atieh,5,0, 6,0,1.0000,0.4545,0.6250
sample_1214,35,0, 22,19,0.6481,0.6140,0.6306
sample_151_20210112211713,41,9, 24,28,0.5256,0.6308,0.5734
sample_2788,89,0, 73,44,0.6692,0.5494,0.6034
sample_44_20210610044415_Hayden,16,2, 18,16,0.4706,0.4706,0.4706
sample_52,42,0, 11,6,0.8750,0.7925,0.8317
sample_324,86,0, 30,45,0.6565,0.7414,0.6964
sample_2757,8,0, 19,5,0.6154,0.2963,0.4000
sample_62_20210604143820_Booma,85,1, 44,28,0.7456,0.6589,0.6996
sample_86,59,0, 15,26,0.6941,0.7973,0.7421
sample_2754,36,10, 18,28,0.4865,0.6667,0.5625
sample_23_20210610044409_Isra,51,0, 12,24,0.6800,0.8095,0.7391
sample_171_20210112211716,56,0, 24,33,0.6292,0.7000,0.6627
sample_66_20210112211703,67,6, 52,56,0.5194,0.5630,0.5403
sample_98_20210112211707,66,0, 3,7,0.9041,0.9565,0.9296
sample_173_20210112211716,43,0, 19,9,0.8269,0.6935,0.7544
sample_2792,53,0, 20,33,0.6163,0.7260,0.6667
sample_27_20210610044410_Isra,36,0, 22,23,0.6102,0.6207,0.6154
sample_1258,67,0, 84,32,0.6768,0.4437,0.5360
sample_74_20210112211704,42,2, 17,18,0.6774,0.7119,0.6942
sample_1714,36,3, 28,10,0.7347,0.5625,0.6372
sample_2760,35,0, 18,5,0.8750,0.6604,0.7527
sample_71_20210604143824_Booma,55,0, 28,9,0.8594,0.6627,0.7483
sample_1021,12,0, 11,32,0.2727,0.5217,0.3582
sample_17_20210610044407_Isra,79,4, 35,31,0.6930,0.6930,0.6930
sample_23_20210604143812_Hayden,16,2, 20,42,0.2667,0.4444,0.3333
sample_2764,48,1, 17,24,0.6575,0.7385,0.6957
sample_66_20210604143822_Booma,40,0, 37,28,0.5882,0.5195,0.5517
sample_63_20210112211702,44,1, 29,31,0.5789,0.6027,0.5906
sample_141_20210112211712,52,0, 28,11,0.8254,0.6500,0.7273
sample_82_20210112211705,45,0, 13,11,0.8036,0.7759,0.7895
sample_2_20210610044403_Isra,65,0, 2,1,0.9848,0.9701,0.9774
sample_80_20210604143825_Booma,26,0, 12,6,0.8125,0.6842,0.7429
sample_2790,50,1, 56,20,0.7042,0.4717,0.5650
sample_8_20210604143807_Hayden,31,1, 29,24,0.5536,0.5167,0.5345
sample_155_20210112211713,88,1, 29,22,0.7928,0.7521,0.7719
sample_1254,28,0, 31,14,0.6667,0.4746,0.5545
sample_134_20210112211711,109,0, 3,9,0.9237,0.9732,0.9478
sample_641,100,4, 73,104,0.4808,0.5780,0.5249
sample_6_20210621151656_Hayden,45,1, 28,13,0.7627,0.6164,0.6818
sample_635,37,0, 69,79,0.3190,0.3491,0.3333
sample_4_20210610044403_Isra,95,0, 36,34,0.7364,0.7252,0.7308
sample_46_20210610044418_Hayden,21,1, 7,12,0.6176,0.7500,0.6774
sample_116_20210112211709,15,0, 9,14,0.5172,0.6250,0.5660
sample_104_20210112211707,38,1, 30,27,0.5758,0.5588,0.5672
sample_38_20210604143816_Isra,58,0, 23,20,0.7436,0.7160,0.7296
sample_2789,80,0, 44,24,0.7692,0.6452,0.7018
sample_25_20210610044410_Isra,55,0, 12,26,0.6790,0.8209,0.7432
sample_11_20210604143808_Hayden,57,3, 48,39,0.5758,0.5429,0.5588
sample_20_20210604143811_Hayden,25,0, 10,29,0.4630,0.7143,0.5618
sample_1274,26,1, 16,8,0.7429,0.6190,0.6753
sample_69_20210604143823_Booma,13,1, 16,8,0.5909,0.4483,0.5098
sample_115_20210112211709,41,2, 12,23,0.6212,0.7736,0.6891
sample_2791,58,1, 11,9,0.8529,0.8406,0.8467
sample_108_20210112211708,13,0, 10,37,0.2600,0.5652,0.3562
sample_83_20210112211705,29,1, 11,30,0.4833,0.7250,0.5800
sample_21_20210610044409_Isra,24,3, 17,36,0.3810,0.5854,0.4615
sample_89_20210112211706,95,1, 25,50,0.6507,0.7917,0.7143
sample_65_20210604143822_Booma,17,1, 14,11,0.5862,0.5484,0.5667
sample_74_20210610044426_Booma,39,3, 54,24,0.5909,0.4194,0.4906
sample_71,38,4, 18,13,0.6909,0.6786,0.6847
sample_1237,28,0, 20,10,0.7368,0.5833,0.6512
sample_68,19,0, 22,11,0.6333,0.4634,0.5352
sample_32_20210610044412_Hayden,73,0, 4,5,0.9359,0.9481,0.9419
sample_131_20210112211711,65,0, 2,1,0.9848,0.9701,0.9774
sample_530,25,0, 26,14,0.6410,0.4902,0.5556
sample_207,19,0, 12,13,0.5938,0.6129,0.6032
sample_1295,22,0, 33,25,0.4681,0.4000,0.4314
sample_4_20210112211655,50,3, 35,49,0.4902,0.5882,0.5348
sample_2755,34,0, 32,14,0.7083,0.5152,0.5965
sample_138_20210112211712,36,0, 11,14,0.7200,0.7660,0.7423
sample_323,35,1, 13,3,0.8974,0.7292,0.8046
sample_37_20210621151709_Hayden,13,0, 15,26,0.3333,0.4643,0.3881
