Output_llama3.1_8b_no_sim,0.4385,0.689
Output_gemma4_26b_no_sim,0.6126,0.8642
Output_gemma4_31b_no_sim,0.6231,0.8743
Output_mistral-small_24b_no_sim,0.5193,0.7964
