model,running_time_seconds
llama3.1:8b,{2038.59}
gemma4:26b,{738.17}
gemma4:31b,{2907.88}
mistral-small:24b,{39041.08}
llama3.1:8b,{4524.39}
gemma4:26b,{768.91}
gemma4:31b,{2986.96}
mistral-small:24b,{40678.91}
