sample_38_20210610044413_Hayden,69,17, 7,19,0.6571,0.9079,0.7624
sample_1765,46,17, 6,21,0.5476,0.8846,0.6765
sample_160_20210112211715,104,2, 11,15,0.8595,0.9043,0.8814
sample_1231,28,2, 4,4,0.8235,0.8750,0.8485
sample_60_20210604143820_Isra,74,19, 4,42,0.5481,0.9487,0.6948
sample_50_20210604143818_Isra,63,6, 18,21,0.7000,0.7778,0.7368
sample_73_20210610044426_Booma,59,4, 4,5,0.8676,0.9365,0.9008
sample_154_20210112211713,62,14, 3,18,0.6596,0.9538,0.7799
sample_76_20210112211704,38,9, 9,8,0.6909,0.8085,0.7451
sample_364,81,4, 14,41,0.6429,0.8526,0.7330
sample_963,76,2, 7,12,0.8444,0.9157,0.8786
sample_166_20210112211715,82,9, 15,26,0.7009,0.8454,0.7664
sample_85_20210112211705,84,6, 5,10,0.8400,0.9438,0.8889
sample_128_20210112211711,74,12, 8,82,0.4405,0.9024,0.5920
sample_5_20210604143806_Hayden,54,3, 10,23,0.6750,0.8438,0.7500
sample_2765,44,6, 5,9,0.7458,0.8980,0.8148
sample_2762,178,45, 14,75,0.5973,0.9271,0.7265
sample_36_20210610044412_Hayden,57,4, 8,17,0.7308,0.8769,0.7972
sample_30_20210610044412_Isra,63,5, 6,78,0.4315,0.9130,0.5860
sample_1433,50,4, 7,6,0.8333,0.8772,0.8547
sample_1600,96,46, 15,18,0.6000,0.8649,0.7085
sample_1854,34,3, 2,12,0.6939,0.9444,0.8000
sample_2_20210604143805_Hayden,30,7, 4,59,0.3125,0.8824,0.4615
sample_34_20210610044412_Hayden,38,11, 3,34,0.4578,0.9268,0.6129
sample_225,35,2, 2,32,0.5072,0.9459,0.6604
sample_58_20210604143820_Isra,177,73, 7,71,0.5514,0.9620,0.7010
sample_2748,134,3, 7,93,0.5826,0.9504,0.7224
sample_2780,126,5, 17,21,0.8289,0.8811,0.8542
sample_90_20210604143828_Booma,58,11, 3,33,0.5686,0.9508,0.7117
sample_1240,61,14, 3,13,0.6932,0.9531,0.8026
sample_96_20210112211707,131,2, 32,34,0.7844,0.8037,0.7939
sample_2751,129,8, 33,35,0.7500,0.7963,0.7725
sample_84_20210604143826_Booma,37,13, 2,29,0.4684,0.9487,0.6271
sample_223,51,9, 12,21,0.6296,0.8095,0.7083
sample_140_20210112211712,66,15, 8,38,0.5546,0.8919,0.6839
sample_80_20210112211705,35,1, 6,17,0.6604,0.8537,0.7447
sample_227,123,35, 8,28,0.6613,0.9389,0.7760
sample_1262,164,23, 11,38,0.7289,0.9371,0.8200
sample_82_20210604143826_Booma,201,52, 23,55,0.6526,0.8973,0.7556
sample_74_20210604143824_Booma,14,3, 1,28,0.3111,0.9333,0.4667
sample_64_20210112211703,106,26, 19,47,0.5922,0.8480,0.6974
sample_167_20210112211715,94,8, 31,13,0.8174,0.7520,0.7833
sample_50_20210610044419_Hayden,119,21, 3,31,0.6959,0.9754,0.8123
sample_75_20200709164917_Atieh,4,0, 7,2,0.6667,0.3636,0.4706
sample_1214,56,2, 9,16,0.7568,0.8615,0.8058
sample_151_20210112211713,76,36, 9,12,0.6129,0.8941,0.7273
