sample_38_20210610044413_Hayden,39,6, 31,60,0.3714,0.5571,0.4457
sample_1765,24,8, 15,52,0.2857,0.6154,0.3902
sample_160_20210112211715,53,0, 38,68,0.4380,0.5824,0.5000
sample_1231,13,0, 13,21,0.3824,0.5000,0.4333
sample_60_20210604143820_Isra,37,3, 22,95,0.2741,0.6271,0.3814
sample_50_20210604143818_Isra,32,2, 36,56,0.3556,0.4706,0.4051
sample_73_20210610044426_Booma,34,2, 20,32,0.5000,0.6296,0.5574
sample_154_20210112211713,28,7, 18,59,0.2979,0.6087,0.4000
sample_76_20210112211704,30,6, 17,19,0.5455,0.6383,0.5882
sample_364,28,0, 56,98,0.2222,0.3333,0.2667
sample_963,50,0, 17,40,0.5556,0.7463,0.6369
sample_166_20210112211715,56,6, 34,55,0.4786,0.6222,0.5411
sample_85_20210112211705,33,3, 33,64,0.3300,0.5000,0.3976
sample_128_20210112211711,45,3, 25,120,0.2679,0.6429,0.3782
sample_5_20210604143806_Hayden,37,0, 23,43,0.4625,0.6167,0.5286
sample_2765,28,1, 11,30,0.4746,0.7179,0.5714
sample_2762,69,3, 68,226,0.2315,0.5036,0.3172
sample_36_20210610044412_Hayden,35,2, 19,41,0.4487,0.6481,0.5303
sample_30_20210610044412_Isra,42,0, 23,104,0.2877,0.6462,0.3981
sample_1433,34,0, 17,26,0.5667,0.6667,0.6126
sample_1600,47,11, 41,102,0.2938,0.5341,0.3790
sample_1854,7,1, 10,41,0.1429,0.4118,0.2121
sample_2_20210604143805_Hayden,10,0, 5,86,0.1042,0.6667,0.1802
sample_34_20210610044412_Hayden,25,6, 11,52,0.3012,0.6944,0.4202
sample_225,17,0, 13,52,0.2464,0.5667,0.3434
sample_58_20210604143820_Isra,70,19, 47,232,0.2181,0.5983,0.3196
sample_2748,57,0, 34,173,0.2478,0.6264,0.3551
sample_2780,43,1, 56,108,0.2829,0.4343,0.3426
sample_90_20210604143828_Booma,26,6, 19,70,0.2549,0.5778,0.3537
sample_1240,37,1, 26,50,0.4205,0.5873,0.4901
sample_96_20210112211707,84,1, 50,82,0.5030,0.6269,0.5581
sample_2751,64,2, 70,106,0.3721,0.4776,0.4183
sample_84_20210604143826_Booma,26,8, 13,45,0.3291,0.6667,0.4407
sample_223,12,1, 31,68,0.1481,0.2791,0.1935
