sample_134_20210112211711,126,1, 7,4,0.9618,0.9474,0.9545
sample_25_20210610044410_Isra,27,2, 41,5,0.7941,0.3971,0.5294
sample_38_20210610044413_Hayden,77,12, 0,14,0.7476,1.0000,0.8556
sample_323,26,2, 22,29,0.4561,0.5417,0.4952
sample_169_20210112211715,74,8, 48,13,0.7789,0.6066,0.6820
sample_1246,55,19, 7,24,0.5612,0.8871,0.6875
sample_46_20210610044418_Hayden,32,0, 4,4,0.8889,0.8889,0.8889
sample_2789,124,5, 16,9,0.8986,0.8857,0.8921
sample_116_20210112211709,29,3, 3,3,0.8286,0.9062,0.8657
sample_1262,152,12, 12,16,0.8444,0.9268,0.8837
sample_2764,74,1, 3,3,0.9487,0.9610,0.9548
sample_76_20210112211704,31,4, 15,3,0.8158,0.6739,0.7381
sample_37_20210621151709_Hayden,39,6, 2,1,0.8478,0.9512,0.8966
sample_38_20210604143816_Isra,77,8, 7,11,0.8021,0.9167,0.8556
sample_2757,10,7, 10,2,0.5263,0.5000,0.5128
sample_80_20210604143825_Booma,28,6, 13,27,0.4590,0.6829,0.5490
sample_367,68,3, 20,6,0.8831,0.7727,0.8242
sample_63_20210112211702,62,2, 16,7,0.8732,0.7949,0.8322
sample_324,75,4, 44,58,0.5474,0.6303,0.5859
sample_104_20210112211707,80,8, 12,28,0.6897,0.8696,0.7692
sample_225,37,4, 8,27,0.5441,0.8222,0.6549
sample_160_20210112211715,99,0, 8,4,0.9612,0.9252,0.9429
sample_364,84,5, 20,21,0.7636,0.8077,0.7850
sample_30_20210610044412_Isra,4,0, 61,2,0.6667,0.0615,0.1127
sample_80_20210112211705,33,0, 7,0,1.0000,0.8250,0.9041
sample_88_20210604143828_Booma,51,8, 0,7,0.7727,1.0000,0.8718
sample_2_20210604143805_Hayden,19,7, 4,29,0.3455,0.8261,0.4872
sample_23_20210610044409_Isra,33,0, 32,2,0.9429,0.5077,0.6600
sample_380,107,10, 20,3,0.8917,0.8425,0.8664
sample_207,32,1, 3,8,0.7805,0.9143,0.8421
sample_147_20210112211713,69,2, 6,13,0.8214,0.9200,0.8679
sample_71_20210604143824_Booma,77,22, 21,7,0.7264,0.7857,0.7549
sample_69_20210112211703,67,6, 10,14,0.7701,0.8701,0.8171
sample_11_20210604143808_Hayden,104,12, 13,13,0.8062,0.8889,0.8455
sample_98_20210112211707,75,0, 8,5,0.9375,0.9036,0.9202
sample_157_20210112211713,132,5, 22,18,0.8516,0.8571,0.8544
sample_167_20210112211715,114,2, 23,2,0.9661,0.8321,0.8941
sample_26_20210604143812_Hayden,33,0, 3,13,0.7174,0.9167,0.8049
sample_78_20210604143825_Booma,43,0, 83,9,0.8269,0.3413,0.4831
sample_64_20210112211703,105,39, 24,36,0.5833,0.8140,0.6796
sample_138_20210112211712,73,12, 1,15,0.7300,0.9865,0.8391
sample_8_20210604143807_Hayden,55,5, 13,13,0.7534,0.8088,0.7801
sample_140_20210112211712,38,4, 29,0,0.9048,0.5672,0.6972
sample_2747,68,2, 21,32,0.6667,0.7640,0.7120
sample_2760,112,1, 1,8,0.9256,0.9912,0.9573
sample_68,59,32, 0,116,0.2850,1.0000,0.4436
sample_402,58,0, 18,7,0.8923,0.7632,0.8227
sample_36_20210610044412_Hayden,61,9, 8,30,0.6100,0.8841,0.7219
sample_1854,31,2, 5,16,0.6327,0.8611,0.7294
sample_85_20210112211705,87,5, 5,19,0.7838,0.9457,0.8571
sample_73_20210610044426_Booma,63,3, 3,3,0.9130,0.9545,0.9333
sample_2765,37,3, 4,5,0.8222,0.9024,0.8605
sample_108_20210112211708,29,8, 4,10,0.6170,0.8788,0.7250
sample_530,77,9, 10,24,0.7000,0.8851,0.7817
sample_89_20210112211706,144,18, 14,13,0.8229,0.9114,0.8649
sample_71_20210112211703,87,35, 8,12,0.6493,0.9158,0.7598
sample_87_20210112211705,29,9, 5,4,0.6905,0.8529,0.7632
sample_2791,66,2, 11,6,0.8919,0.8571,0.8742
sample_131_20210112211711,64,1, 2,3,0.9412,0.9697,0.9552
sample_92_20210112211706,166,10, 23,17,0.8601,0.8783,0.8691
sample_6_20210621151656_Hayden,56,1, 18,5,0.9032,0.7568,0.8235
sample_648,85,9, 4,12,0.8019,0.9551,0.8718
sample_4_20210610044403_Isra,142,4, 20,25,0.8304,0.8765,0.8529
sample_1433,55,3, 6,5,0.8730,0.9016,0.8871
sample_365,143,4, 28,16,0.8773,0.8363,0.8563
sample_2_20210610044403_Isra,59,0, 8,1,0.9833,0.8806,0.9291
sample_50_20210604143818_Isra,57,1, 18,7,0.8769,0.7600,0.8143
sample_166_20210112211715,82,6, 14,15,0.7961,0.8542,0.8241
sample_1274,50,9, 9,9,0.7353,0.8475,0.7874
sample_42_20210610044414_Hayden,45,5, 3,5,0.8182,0.9375,0.8738
sample_58_20210604143820_Isra,154,22, 13,19,0.7897,0.9222,0.8508
sample_227,132,22, 13,16,0.7765,0.9103,0.8381
sample_223,51,6, 15,18,0.6800,0.7727,0.7234
sample_65_20210604143822_Booma,6,0, 26,7,0.4615,0.1875,0.2667
sample_66_20210604143822_Booma,86,4, 10,33,0.6992,0.8958,0.7854
sample_90_20210604143828_Booma,64,5, 6,26,0.6737,0.9143,0.7758
sample_343,89,6, 35,18,0.7876,0.7177,0.7511
sample_1214,45,1, 11,1,0.9574,0.8036,0.8738
sample_154_20210112211713,39,10, 4,6,0.7091,0.9070,0.7959
sample_34_20210610044412_Hayden,18,5, 24,14,0.4865,0.4286,0.4557
sample_86,64,7, 13,19,0.7111,0.8312,0.7665
sample_96_20210112211707,109,1, 34,8,0.9237,0.7622,0.8352
sample_155_20210112211713,106,14, 19,7,0.8346,0.8480,0.8413
sample_2755,72,0, 15,1,0.9863,0.8276,0.9000
sample_2790,97,3, 19,14,0.8509,0.8362,0.8435
sample_1240,71,7, 7,7,0.8353,0.9103,0.8712
sample_2748,69,3, 39,25,0.7113,0.6389,0.6732
sample_44_20210610044415_Hayden,57,6, 6,6,0.8261,0.9048,0.8636
sample_71,46,6, 10,3,0.8364,0.8214,0.8288
sample_1237,45,4, 9,18,0.6716,0.8333,0.7438
sample_1021,22,0, 7,14,0.6111,0.7586,0.6769
sample_91_20210112211706,150,28, 22,28,0.7282,0.8721,0.7937
sample_2751,90,3, 58,10,0.8738,0.6081,0.7171
sample_35_20210604143815_Isra,65,3, 13,9,0.8442,0.8333,0.8387
sample_69_20210604143823_Booma,4,0, 26,2,0.6667,0.1333,0.2222
sample_66_20210112211703,139,26, 30,20,0.7514,0.8225,0.7853
sample_82_20210604143826_Booma,232,20, 21,34,0.8112,0.9170,0.8609
sample_84_20210604143826_Booma,37,5, 7,21,0.5873,0.8409,0.6916
sample_27_20210610044410_Isra,96,21, 15,22,0.6906,0.8649,0.7680
sample_151_20210112211713,78,23, 10,7,0.7222,0.8864,0.7959
sample_2754,43,24, 17,8,0.5733,0.7167,0.6370
sample_1258,95,5, 78,28,0.7422,0.5491,0.6312
sample_152_20210112211713,59,13, 9,4,0.7763,0.8676,0.8194
sample_17_20210610044407_Isra,127,1, 18,19,0.8639,0.8759,0.8699
sample_635,132,58, 16,107,0.4444,0.8919,0.5933
sample_641,160,24, 19,30,0.7477,0.8939,0.8142
sample_173_20210112211716,57,5, 12,1,0.9048,0.8261,0.8636
sample_11_20210610044406_Isra,125,2, 6,4,0.9542,0.9542,0.9542
sample_44_20210604143817_Isra,30,3, 2,17,0.6000,0.9375,0.7317
sample_5_20210604143806_Hayden,51,5, 11,14,0.7286,0.8226,0.7727
sample_1295,49,4, 14,14,0.7313,0.7778,0.7538
sample_83_20210112211705,68,1, 3,10,0.8608,0.9577,0.9067
sample_2762,167,43, 9,43,0.6601,0.9489,0.7786
sample_52,45,3, 8,6,0.8333,0.8491,0.8411
sample_62_20210604143820_Booma,101,10, 26,9,0.8417,0.7953,0.8178
sample_2788,158,9, 22,18,0.8541,0.8778,0.8658
sample_74_20210604143824_Booma,9,0, 9,20,0.3103,0.5000,0.3830
sample_74_20210112211704,63,6, 5,6,0.8400,0.9265,0.8811
sample_1600,117,29, 14,8,0.7597,0.8931,0.8211
sample_21_20210610044409_Isra,32,10, 6,21,0.5079,0.8421,0.6337
sample_41_20210604143816_Isra,31,0, 18,7,0.8158,0.6327,0.7126
sample_2792,60,0, 13,4,0.9375,0.8219,0.8759
sample_141_20210112211712,28,2, 51,6,0.7778,0.3544,0.4870
sample_377,128,2, 25,29,0.8050,0.8366,0.8205
sample_171_20210112211716,79,0, 17,15,0.8404,0.8229,0.8316
sample_163_20210112211715,113,49, 3,46,0.5433,0.9741,0.6975
sample_963,49,0, 21,5,0.9074,0.7000,0.7903
sample_4_20210112211655,88,16, 6,12,0.7586,0.9362,0.8381
